,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Nyamweru,11020105,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nyamweru,Ruhengeri,11020106,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Bibungo,11020201,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Bwiza,11020202,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Gateko,11020203,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Kagasa,11020204,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Nyabihu,11020205,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Rutagara I,11020206,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Rutagara Ii,11020207,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Nzove,Ruyenzi,11020208,8,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Taba,Kagaramira,11020301,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Taba,Ngendo,11020302,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Taba,Nyarurama,11020303,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Taba,Nyarusange,11020304,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Taba,Rwakivumu,11020305,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kanyinya,Taba,Taba,11020306,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Akirwanda,11030101,1,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Gisenga,11030102,2,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Kadobogo,11030103,3,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Kagarama,11030104,4,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Kibisogi,11030105,5,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Muganza,11030106,6,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Murama,11030107,7,GE,,,,,,,,,,,
Umujyi wa Kigali,Nyarugenge,Kigali,Kigali,Rubuye,11030108,8,GE,,,,,,,,,,,
