,District,Sector,Cellule,Village,Vill_Code,,NEP results,,,,,,,,,,,
Iburengerazuba,Rutsiro,Murunda,Rugeyo,Musongati,32070305,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Murunda,Twabugezi,Gatare,32070402,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Murunda,Twabugezi,Rwanika,32070404,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Murunda,Twabugezi,Rwoza,32070405,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gabiro,Gabiro,32080101,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gabiro,Gitwa,32080102,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gabiro,Murama,32080104,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gabiro,Nyarugenge,32080105,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gabiro,Rugarambiro,32080106,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gisiza,Bweramana,32080201,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gisiza,Gihinga,32080203,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gisiza,Gisiza,32080204,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gisiza,Karambi,32080206,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Gisiza,Ngoma,32080208,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Murambi,Bunnyari,32080301,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Murambi,Murambi,32080305,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Nyarubuye,Mirambi,32080405,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Nyarubuye,Muhororo,32080406,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Musasa,Nyarubuye,Rebero,32080407,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Biruyi,Buhunde,32090101,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Biruyi,Buzukira,32090103,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Biruyi,Kamaranzara,32090105,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Biruyi,Karengera,32090106,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Biruyi,Mugara,32090107,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Biruyi,Rurimba,32090108,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Kaguriro,Mubuga,32090206,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Kaguriro,Rugerero,32090207,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Kaguriro,Ryarwasa,32090209,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Magaba,Gasave,32090302,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Magaba,Kakibaba,32090304,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Magaba,Kariba,32090305,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Magaba,Nkomero,32090306,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Magaba,Ruyogoro,32090307,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Gasoro,32090401,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Kaboneye,32090403,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Kagano,32090404,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Kashishi,32090405,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Mukati,32090407,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Ngunguru,32090408,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Rugaragara,32090409,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushonyi,Rurara,Ruhengeri,32090410,10,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Bumba,Bisyo,32100101,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Bumba,Kabiraho,32100102,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Bumba,Kamushozi,32100103,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Bumba,Karambi,32100104,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Bumba,Mataba,32100105,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Bumba,Ruhinga,32100107,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Cyarusera,Kunini,32100205,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Gitwa,Gakoma,32100301,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Gitwa,Karambira,32100303,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Gitwa,Mugote,32100307,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Gitwa,Rububa,32100308,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Gitwa,Ruhinga,32100309,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Gitwa,Rwintore,32100310,10,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Mageragere,Gitega,32100401,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Mageragere,Murambi,32100402,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Mageragere,Nyarusange,32100404,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Mageragere,Rushikiri,32100406,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Sure,Kabuga,32100501,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Sure,Kaduha,32100502,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Sure,Kagugu,32100503,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Sure,Kanyinya,32100504,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Sure,Kivumu,32100505,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Sure,Nyagahinga,32100506,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Mushubati,Sure,Nyamahuru,32100507,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Busuku,32110102,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Busuti,32110103,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Bwiza,32110104,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Ngugo,32110107,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Nyakibande,32110108,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Rwamigega,32110109,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Torwe,32110110,10,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Busuku,Tsindiro,32110111,11,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Cyivugiza,Gakumba,32110202,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Cyivugiza,Kamananga,32110205,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Cyivugiza,Nyabishongo,32110207,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Cyivugiza,Rukomero,32110208,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Ngoma,Gashihe,32110404,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Ngoma,Kaje,32110407,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Ngoma,Kazo,32110409,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Ngoma,Mpati,32110410,10,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Ngoma,Nkuna,32110412,12,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Gihinga,32110501,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Kanombe,32110503,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Kasonga,32110505,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Kinyamavuta,32110506,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Negenero,32110508,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Nyampengeri,32110509,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Ruraji,32110510,10,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Rwangambut,32110512,12,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Nyabirasi,Terimbere,Ryanyiramun,32110513,13,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gatare,Gasovu,32120101,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gatare,Kamuramira,32120103,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gatare,Mwurire,32120105,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gatare,Ruhimbi,32120106,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gatare,Rukenesha,32120107,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gihira,Bitenga,32120201,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gihira,Busenda,32120202,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gihira,Murambi,32120206,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Gihira,Tara,32120208,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Kavumu,Gakeri,32120301,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Kavumu,Gasasa,32120302,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Kavumu,Gasunzu,32120303,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Kavumu,Mubirizi,32120304,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Kavumu,Muhingo,32120305,5,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Kavumu,Nyundo,32120306,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Nyakarera,Buzeyi,32120401,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Nyakarera,Kabeza,32120402,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Nyakarera,Kayove,32120404,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Nyakarera,Mugali,32120406,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Rugasa,Kabitovu,32120503,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Rundoyi,Kaziga,32120603,3,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Ruhango,Rundoyi,Matyazo,32120604,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Kabona,Byiniro,32130101,1,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Kabona,Nyagasambu,32130106,6,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Kabona,Rwamvura,32130108,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Mberi,Gakeri,32130202,2,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Mberi,Gatenga,32130204,4,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Mberi,Kacyiru,32130207,7,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Mberi,Marimba,32130209,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Mberi,Ruganda,32130210,10,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Remera,Rurambo,32130308,8,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Remera,Shyembe,32130309,9,GE,,,,,,,,,,,
Iburengerazuba,Rutsiro,Rusebeya,Ruronde,Nyamibombw,32130405,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Buringo,Bugeshi,33010101,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Buringo,Buringo,33010102,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Buringo,Butaka,33010103,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Buringo,Gaharawe,33010104,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Buringo,Gahira,33010105,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Buringo,Jenda,33010106,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Buringo,Mutegengeri,33010107,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Butaka,Akabajara,33010201,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Butaka,Akimitoni,33010202,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Butaka,Gaheriheri,33010203,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Butaka,Kabingo,33010204,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Butaka,Kinyamuhang,33010205,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Butaka,Muremure,33010206,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Hehu,Bereshi,33010301,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Hehu,Bweramana,33010302,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Hehu,Gasizi,33010303,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Hehu,Gitotoma,33010304,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Hehu,Hangari,33010305,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Hehu,Humure,33010306,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Hehu,Kabeza,33010307,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Kabumba,Bonde,33010401,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Kabumba,Bugeshi,33010402,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Kabumba,Gashaka,33010403,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Kabumba,Gatovu,33010404,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Kabumba,Gihira,33010405,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Kabumba,Kabumba,33010406,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Kabumba,Mweya,33010407,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Mutovu,Bigaragara,33010501,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Mutovu,Bugeshi,33010502,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Mutovu,Kabuhanga,33010503,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Mutovu,Kimpongo,33010504,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Mutovu,Mburamazi,33010505,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Mutovu,Rindiro,33010506,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Mutovu,Vuna,33010507,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Nsherima,Batikoti,33010601,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Nsherima,Bipfura,33010602,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Nsherima,Bweza,33010603,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Nsherima,Cyumba,33010604,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Nsherima,Gaheriheri,33010605,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Nsherima,Murangara,33010606,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Rusiza,Bihe,33010701,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Rusiza,Bunjuri,33010702,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Bugeshi,Rusiza,Ryarugamba,33010706,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gacurabweng,Biziguro,33020101,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gacurabweng,Busanganya,33020103,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gacurabweng,Gakomero,33020104,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gacurabweng,Kamuyenzi,33020105,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gacurabweng,Kanondo,33020106,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gacurabweng,Kanyabijumb,33020107,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gacurabweng,Nyarubuye,33020109,9,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gasiza,Gisura,33020202,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gasiza,Kinyababa,33020204,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gasiza,Mashinga,33020207,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gasiza,Munanira,33020208,8,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gasiza,Nyarunembw,33020209,9,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gihonga,Marumba,33020301,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gihonga,Mubona,33020302,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gihonga,Nyamyumba,33020303,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Gihonga,Sabushengo,33020304,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Kageshi,Gasenyi,33020401,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Kageshi,Kigezi,33020402,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Kageshi,Ruhara,33020404,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Kageshi,Rwamigega,33020405,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Makoro,Gakuta,33020501,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Makoro,Kamuzamuzi,33020503,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Makoro,Karambi,33020504,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Makoro,Kidadi,33020505,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Nyacyonga,Cyanika,33020601,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Nyacyonga,Kitagabwa,33020605,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Cyamabuye,33020701,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Kabagoyi,33020702,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Kageyo,33020703,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Kambonyi,33020704,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Kamivumba,33020705,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Kinogo,33020706,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Munege,33020707,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Busasamana,Rusura,Rebero,33020708,8,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Busigari,Bugu,33030102,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Cyanzarwe,Butango,33030201,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Cyanzarwe,Cyanzarwe,33030202,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Cyanzarwe,Gasenyi,33030203,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Cyanzarwe,Karangara,33030204,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Gora,Gora,33030302,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Gora,Kabere,33030303,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Kinyanzovu,Kanyentambi,33030402,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Kinyanzovu,Muhororo,33030404,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Makurizo,Gashuha,33030501,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Makurizo,Makurizo,33030502,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Makurizo,Mukingo,33030503,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Makurizo,Nyamugari,33030504,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Makurizo,Ruhuranda,33030505,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwangara,Buramazi,33030601,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwangara,Hanika,33030602,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwangara,Muti,33030603,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwangara,Nyakabanda,33030604,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwangara,Nyakabungo,33030605,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwanzekuma,Kabirizi,33030701,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwanzekuma,Karambi,33030702,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwanzekuma,Kinyamiyaga,33030703,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwanzekuma,Munaba,33030704,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Rwanzekuma,Rukorakore,33030705,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Ryabizige,Burere,33030801,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Ryabizige,Kanyamagare,33030802,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Ryabizige,Musene,33030805,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Cyanzarwe,Ryabizige,Nganzo,33030806,6,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Amahoro,Amahoro,33040101,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Amahoro,Kitagabwa,33040103,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Amahoro,Muhabura,33040104,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Amahoro,Murakazanez,33040105,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Amahoro,Umunezero,33040108,8,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Amataba,33040201,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Giraneza,33040203,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Irakiza,33040204,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Isangano,33040205,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Kaminuza,33040207,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Nyakabungo,33040208,8,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Ubutabera,33040209,9,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Bugoyi,Ubwiza,33040210,10,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Giponda,33040301,1,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Itangazamaku,33040303,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Karisimbi,33040304,4,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Murisanga,33040307,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Ubukerarugen,33040308,8,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Ubutabazi,33040310,10,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Umurava,33040311,11,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Kivumu,Urumuri,33040312,12,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Mbugangari,Amajyambere,33040402,2,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Mbugangari,Gasutamo,33040403,3,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Mbugangari,Icyinyambo,33040405,5,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Mbugangari,Ikaze,33040407,7,GE,,,,,,,,,,,
Iburengerazuba,Rubavu,Gisenyi,Mbugangari,Ikibuga,33040408,8,GE,,,,,,,,,,,
